"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C5,C6","6","0.47uF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C7","1","47uF","","","","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~"
"C8","1","1uF","","","","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~"
"C9","1","0.1uF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"D1,D2,D3,D4,D5,D6","6","D","","","","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"J1,J2,J3,J4,J5,J6","6","BNC","","","","Connector_Coaxial:BNC_TEConnectivity_1478035_Horizontal","~"
"R1,R2,R3,R4,R5,R6","6","100","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R7,R8,R9,R10,R11,R12","6","100k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R13,R14,R15,R16,R17,R18","6","47","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"SW1,SW2,SW3,SW4,SW5,SW6,SW7","7","SW_SPST","","","","TestPoint:TestPoint_2Pads_Pitch5.08mm_Drill1.3mm","~"
"U2","1","SN74AHC14N","","","","SN74AHC14N:N14","https://www.ti.com/lit/gpn/sn74ahc14"
